plan_id,resident_id,plan_category,plan_description,services_provided,target_value,target_date,status,case_conference_date,created_at,updated_at,services_list
168,56,Physical Health,Improve nutrition and overall wellbeing,"Legal Services, Healing",4.2,2025-06-01,On Hold,,2024-10-01,2025-07-01,"['Legal Services', 'Healing']"
169,57,Safety,Maintain a stable and safe environment,Legal Services,4.2,2023-09-01,On Hold,2023-07-14,2023-04-01,2023-10-01,['Legal Services']
170,57,Education,Improve participation and course completion,Healing,0.85,2023-09-01,On Hold,2023-08-30,2023-04-01,2023-10-01,['Healing']
171,57,Physical Health,Improve nutrition and overall wellbeing,"Healing, Teaching, Caring",4.2,2023-09-01,In Progress,,2023-04-01,2023-10-01,"['Healing', 'Teaching', 'Caring']"
172,58,Safety,Maintain a stable and safe environment,Legal Services,4.2,2025-10-01,In Progress,,2025-03-01,2025-11-01,['Legal Services']
173,58,Education,Improve participation and course completion,"Caring, Healing, Teaching",0.85,2025-10-01,Open,,2025-03-01,2025-11-01,"['Caring', 'Healing', 'Teaching']"
174,58,Physical Health,Improve nutrition and overall wellbeing,"Legal Services, Caring, Teaching",4.2,2025-10-01,Open,2025-03-31,2025-03-01,2025-11-01,"['Legal Services', 'Caring', 'Teaching']"
175,59,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2024-01-01,In Progress,2023-11-03,2023-06-01,2024-02-01,"['Caring', 'Healing']"
176,59,Education,Improve participation and course completion,"Caring, Legal Services, Teaching",0.85,2024-01-01,Open,2023-12-31,2023-06-01,2024-02-01,"['Caring', 'Legal Services', 'Teaching']"
177,59,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Caring",4.2,2024-01-01,In Progress,2023-12-16,2023-06-01,2024-02-01,"['Teaching', 'Caring']"
178,60,Safety,Maintain a stable and safe environment,Teaching,4.2,2024-05-01,Open,,2024-01-01,2024-06-01,['Teaching']
179,60,Education,Improve participation and course completion,"Teaching, Legal Services, Caring",0.85,2024-05-01,In Progress,2024-02-03,2024-01-01,2024-06-01,"['Teaching', 'Legal Services', 'Caring']"
180,60,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services, Healing",4.2,2024-05-01,Achieved,,2024-01-01,2024-06-01,"['Teaching', 'Legal Services', 'Healing']"
