visitation_id,resident_id,visit_date,social_worker,visit_type,location_visited,family_members_present,purpose,observations,family_cooperation_level,safety_concerns_noted,follow_up_needed,follow_up_notes,visit_outcome,cooperation_numeric,outcome_numeric
350,14,2025-10-19,SW-09,Initial Assessment,Barangay Office,Reyes (Parent); Diaz (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement,4,2.0
351,14,2025-10-26,SW-06,Initial Assessment,Proposed Foster Home,Cruz (Parent); Cruz (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable,4,3.0
352,14,2025-11-15,SW-12,Post-Placement Monitoring,Barangay Office,,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Uncooperative,False,True,Follow-up scheduled,Needs Improvement,1,2.0
353,14,2025-12-04,SW-15,Reintegration Assessment,Church,Reyes (Parent); Garcia (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,True,False,Follow-up scheduled,Favorable,1,3.0
354,14,2025-12-20,SW-19,Reintegration Assessment,Proposed Foster Home,Reyes (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
355,14,2026-01-19,SW-11,Reintegration Assessment,Proposed Foster Home,Cruz (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,,Unfavorable,3,1.0
356,15,2024-10-20,SW-04,Routine Follow-Up,School,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,,Favorable,2,3.0
357,15,2024-12-12,SW-16,Routine Follow-Up,Proposed Foster Home,Santos (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,False,Follow-up scheduled,Favorable,1,3.0
358,15,2025-02-02,SW-14,Routine Follow-Up,Proposed Foster Home,Diaz (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,False,Follow-up scheduled,Favorable,1,3.0
359,15,2025-02-17,SW-06,Routine Follow-Up,Barangay Office,Diaz (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,,Needs Improvement,2,2.0
360,15,2025-02-25,SW-20,Routine Follow-Up,Barangay Office,Santos (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Inconclusive,3,
361,15,2025-06-15,SW-10,Post-Placement Monitoring,Church,Diaz (Parent); Santos (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,,Favorable,3,3.0
362,15,2025-06-20,SW-19,Initial Assessment,Barangay Office,Torres (Parent); Santos (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,Follow-up scheduled,Inconclusive,4,
363,15,2025-06-29,SW-04,Initial Assessment,Community Center,Garcia (Parent); Rivera (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
364,15,2025-07-21,SW-10,Routine Follow-Up,Barangay Office,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Unfavorable,3,1.0
365,15,2025-08-07,SW-14,Routine Follow-Up,Community Center,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Unfavorable,3,1.0
366,15,2025-08-09,SW-16,Post-Placement Monitoring,Community Center,Reyes (Parent); Rivera (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,True,True,Follow-up scheduled,Unfavorable,3,1.0
367,15,2025-08-12,SW-06,Initial Assessment,Proposed Foster Home,Lopez (Parent); Diaz (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,,Favorable,3,3.0
368,15,2025-09-05,SW-03,Initial Assessment,School,,Visitation for initial assessment,Visit observations recorded during initial assessment.,Uncooperative,True,True,,Unfavorable,1,1.0
369,15,2025-10-01,SW-18,Routine Follow-Up,Family Home,Santos (Parent); Garcia (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Inconclusive,3,
370,15,2025-12-23,SW-17,Initial Assessment,Church,,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,True,Follow-up scheduled,Unfavorable,3,1.0
371,15,2026-03-06,SW-14,Routine Follow-Up,Church,Torres (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
372,15,2026-04-24,SW-18,Routine Follow-Up,Community Center,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
373,15,2026-05-01,SW-09,Post-Placement Monitoring,Family Home,Torres (Parent); Cruz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
374,15,2026-05-25,SW-08,Routine Follow-Up,School,Rivera (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
375,16,2023-06-14,SW-03,Reintegration Assessment,School,Diaz (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,,Needs Improvement,3,2.0
376,16,2023-06-15,SW-06,Post-Placement Monitoring,Church,,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Uncooperative,False,False,Follow-up scheduled,Favorable,1,3.0
377,16,2023-06-21,SW-03,Reintegration Assessment,Barangay Office,Rivera (Parent); Torres (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,True,Follow-up scheduled,Unfavorable,2,1.0
378,16,2023-07-09,SW-11,Reintegration Assessment,Family Home,Cruz (Parent); Rivera (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,False,False,,Favorable,1,3.0
379,16,2023-07-09,SW-07,Reintegration Assessment,School,Rivera (Parent); Lopez (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,True,Follow-up scheduled,Needs Improvement,3,2.0
380,16,2023-08-03,SW-12,Reintegration Assessment,School,,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable,4,3.0
381,16,2023-09-03,SW-20,Routine Follow-Up,Community Center,Lopez (Parent); Garcia (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,True,Follow-up scheduled,Needs Improvement,1,2.0
382,16,2023-09-24,SW-03,Reintegration Assessment,Family Home,,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,False,,Inconclusive,3,
383,16,2023-09-25,SW-12,Reintegration Assessment,Church,,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,,Inconclusive,3,
384,16,2023-10-19,SW-17,Routine Follow-Up,Church,Lopez (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement,4,2.0
385,16,2023-11-06,SW-20,Initial Assessment,Proposed Foster Home,Torres (Parent); Lopez (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,False,Follow-up scheduled,Favorable,2,3.0
386,16,2023-11-16,SW-03,Reintegration Assessment,Barangay Office,,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,Follow-up scheduled,Unfavorable,3,1.0
387,16,2023-12-02,SW-17,Reintegration Assessment,Church,Rivera (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,False,True,,Needs Improvement,1,2.0
388,16,2023-12-06,SW-05,Post-Placement Monitoring,School,Cruz (Parent); Rivera (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Uncooperative,False,True,Follow-up scheduled,Needs Improvement,1,2.0
389,16,2023-12-29,SW-07,Reintegration Assessment,Family Home,Diaz (Parent); Santos (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,True,True,,Unfavorable,2,1.0
390,16,2024-01-08,SW-19,Reintegration Assessment,School,Garcia (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable,4,3.0
391,16,2024-01-19,SW-10,Reintegration Assessment,Church,Mendoza (Parent); Torres (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,True,True,,Needs Improvement,2,2.0
392,16,2024-01-26,SW-14,Routine Follow-Up,Community Center,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable,3,3.0
393,16,2024-02-12,SW-03,Reintegration Assessment,Community Center,Santos (Parent); Reyes (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,False,True,,Unfavorable,1,1.0
394,16,2024-03-17,SW-14,Reintegration Assessment,Family Home,Mendoza (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,False,False,,Favorable,1,3.0
395,16,2024-04-22,SW-08,Reintegration Assessment,School,Santos (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,False,,Favorable,2,3.0
396,16,2024-05-12,SW-10,Routine Follow-Up,Community Center,Diaz (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement,4,2.0
397,16,2024-06-13,SW-07,Initial Assessment,Family Home,Flores (Parent); Reyes (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,,Favorable,4,3.0
398,16,2024-06-14,SW-09,Routine Follow-Up,Family Home,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable,4,3.0
399,16,2024-06-25,SW-04,Routine Follow-Up,Barangay Office,Lopez (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,,Unfavorable,2,1.0
400,16,2024-07-15,SW-09,Reintegration Assessment,Community Center,,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,True,,Needs Improvement,4,2.0
401,16,2024-07-30,SW-12,Reintegration Assessment,Barangay Office,Reyes (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,True,True,Follow-up scheduled,Needs Improvement,2,2.0
402,16,2024-10-13,SW-03,Reintegration Assessment,Family Home,,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,,Favorable,4,3.0
403,16,2024-11-13,SW-06,Reintegration Assessment,Family Home,Reyes (Parent); Lopez (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,False,False,,Favorable,1,3.0
404,16,2024-11-17,SW-11,Routine Follow-Up,Proposed Foster Home,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Needs Improvement,3,2.0
405,16,2024-12-02,SW-09,Routine Follow-Up,Barangay Office,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,,Unfavorable,4,1.0
406,16,2025-01-07,SW-20,Initial Assessment,Barangay Office,,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
407,16,2025-01-29,SW-02,Routine Follow-Up,Church,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Unfavorable,3,1.0
408,16,2025-02-14,SW-04,Reintegration Assessment,School,Mendoza (Parent); Rivera (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable,4,3.0
409,16,2025-04-05,SW-03,Post-Placement Monitoring,Family Home,,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,True,Follow-up scheduled,Needs Improvement,3,2.0
410,16,2025-04-15,SW-14,Post-Placement Monitoring,Proposed Foster Home,Reyes (Parent); Rivera (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,True,False,Follow-up scheduled,Inconclusive,3,
411,16,2025-06-09,SW-11,Reintegration Assessment,School,,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,Follow-up scheduled,Needs Improvement,3,2.0
412,16,2025-06-10,SW-10,Reintegration Assessment,Community Center,Flores (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,,Favorable,4,3.0
413,16,2025-07-31,SW-01,Initial Assessment,Barangay Office,,Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement,4,2.0
414,16,2025-09-15,SW-16,Reintegration Assessment,School,Reyes (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,True,,Needs Improvement,3,2.0
415,16,2025-09-18,SW-13,Reintegration Assessment,Community Center,Santos (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,True,,Needs Improvement,3,2.0
416,16,2025-10-10,SW-07,Reintegration Assessment,Church,Rivera (Parent); Mendoza (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,False,,Favorable,4,3.0
417,16,2025-10-15,SW-20,Routine Follow-Up,Community Center,Flores (Parent); Garcia (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
418,16,2025-10-27,SW-01,Initial Assessment,Community Center,,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
419,16,2025-11-01,SW-06,Reintegration Assessment,Barangay Office,Cruz (Parent); Cruz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Inconclusive,3,
420,16,2025-11-05,SW-15,Reintegration Assessment,School,Garcia (Parent); Santos (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement,4,2.0
421,16,2025-12-15,SW-06,Post-Placement Monitoring,Barangay Office,Rivera (Parent); Cruz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,Follow-up scheduled,Inconclusive,3,
422,16,2025-12-23,SW-04,Reintegration Assessment,School,,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,True,,Needs Improvement,3,2.0
423,16,2025-12-24,SW-05,Reintegration Assessment,School,,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,,Favorable,4,3.0
424,16,2026-01-16,SW-07,Initial Assessment,Church,Lopez (Parent); Mendoza (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,True,,Needs Improvement,3,2.0
425,16,2026-02-09,SW-02,Routine Follow-Up,Barangay Office,Torres (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,,Needs Improvement,4,2.0
426,17,2025-01-22,SW-20,Post-Placement Monitoring,Family Home,Mendoza (Parent); Rivera (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Neutral,False,False,,Favorable,2,3.0
427,17,2025-03-23,SW-02,Post-Placement Monitoring,Family Home,Garcia (Parent); Torres (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Neutral,False,False,Follow-up scheduled,Inconclusive,2,
428,17,2025-04-01,SW-15,Post-Placement Monitoring,Community Center,Flores (Parent); Flores (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Neutral,True,True,Follow-up scheduled,Needs Improvement,2,2.0
429,17,2025-05-04,SW-06,Post-Placement Monitoring,Church,Flores (Parent); Torres (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,,Favorable,3,3.0
430,17,2025-06-02,SW-05,Routine Follow-Up,Community Center,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,False,,Inconclusive,3,
431,17,2025-08-13,SW-02,Initial Assessment,Community Center,Garcia (Parent); Rivera (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,True,Follow-up scheduled,Unfavorable,3,1.0
432,17,2025-10-11,SW-19,Emergency,Barangay Office,,Visitation for emergency,Visit observations recorded during emergency.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
433,17,2025-10-11,SW-07,Initial Assessment,School,,Visitation for initial assessment,Visit observations recorded during initial assessment.,Uncooperative,True,True,Follow-up scheduled,Unfavorable,1,1.0
434,17,2025-11-03,SW-11,Routine Follow-Up,Barangay Office,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Inconclusive,3,
435,17,2025-11-04,SW-12,Routine Follow-Up,Family Home,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Needs Improvement,3,2.0
436,17,2026-01-15,SW-18,Routine Follow-Up,Proposed Foster Home,Diaz (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,,Favorable,4,3.0
437,17,2026-01-22,SW-18,Reintegration Assessment,Church,Lopez (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,False,Follow-up scheduled,Favorable,3,3.0
438,18,2023-12-18,SW-05,Reintegration Assessment,Barangay Office,,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,False,True,Follow-up scheduled,Unfavorable,1,1.0
439,18,2024-01-30,SW-04,Initial Assessment,Family Home,Santos (Parent); Reyes (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,True,,Needs Improvement,3,2.0
440,18,2024-02-23,SW-13,Routine Follow-Up,Proposed Foster Home,Torres (Parent); Rivera (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Needs Improvement,3,2.0
441,18,2024-03-07,SW-01,Post-Placement Monitoring,Community Center,Cruz (Parent); Reyes (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
442,18,2024-05-04,SW-09,Routine Follow-Up,Family Home,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement,4,2.0
443,18,2024-05-11,SW-14,Routine Follow-Up,Barangay Office,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,True,True,,Needs Improvement,1,2.0
444,18,2024-05-17,SW-09,Reintegration Assessment,Barangay Office,Mendoza (Parent); Rivera (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,False,,Favorable,2,3.0
445,18,2024-06-02,SW-19,Reintegration Assessment,Community Center,,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,False,Follow-up scheduled,Inconclusive,3,
446,18,2024-06-16,SW-12,Reintegration Assessment,Family Home,Rivera (Parent); Cruz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,Follow-up scheduled,Inconclusive,4,
447,18,2024-06-29,SW-09,Reintegration Assessment,Family Home,Torres (Parent); Garcia (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,True,Follow-up scheduled,Unfavorable,4,1.0
448,18,2024-07-09,SW-10,Initial Assessment,Barangay Office,Flores (Parent); Reyes (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,True,Follow-up scheduled,Needs Improvement,2,2.0
449,18,2024-08-06,SW-15,Post-Placement Monitoring,Family Home,Garcia (Parent); Flores (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Neutral,False,False,Follow-up scheduled,Favorable,2,3.0
450,18,2024-08-18,SW-19,Reintegration Assessment,Proposed Foster Home,Lopez (Parent); Torres (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable,4,3.0
451,18,2024-09-17,SW-09,Post-Placement Monitoring,Barangay Office,Reyes (Parent); Rivera (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,True,,Unfavorable,3,1.0
452,18,2024-12-04,SW-12,Post-Placement Monitoring,Proposed Foster Home,Cruz (Parent); Lopez (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement,4,2.0
453,18,2024-12-06,SW-02,Reintegration Assessment,Church,Torres (Parent); Reyes (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,False,Follow-up scheduled,Favorable,3,3.0
454,19,2024-04-10,SW-07,Initial Assessment,School,,Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,False,Follow-up scheduled,Inconclusive,2,
455,19,2024-08-18,SW-10,Reintegration Assessment,Community Center,Lopez (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,True,,Unfavorable,4,1.0
456,19,2024-09-23,SW-20,Initial Assessment,Barangay Office,Santos (Parent); Santos (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
457,19,2024-10-11,SW-13,Initial Assessment,School,Mendoza (Parent); Flores (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,True,Follow-up scheduled,Unfavorable,4,1.0
458,19,2024-10-19,SW-02,Routine Follow-Up,Proposed Foster Home,Garcia (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,Follow-up scheduled,Needs Improvement,3,2.0
459,19,2024-11-10,SW-19,Routine Follow-Up,School,Lopez (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement,4,2.0
460,19,2024-11-24,SW-14,Routine Follow-Up,Community Center,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable,3,3.0
461,19,2025-01-02,SW-18,Initial Assessment,Proposed Foster Home,Lopez (Parent); Cruz (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Uncooperative,True,False,Follow-up scheduled,Inconclusive,1,
462,19,2025-01-04,SW-04,Routine Follow-Up,Community Center,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement,4,2.0
463,19,2025-01-05,SW-15,Post-Placement Monitoring,Barangay Office,Diaz (Parent); Mendoza (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Neutral,False,False,Follow-up scheduled,Favorable,2,3.0
464,19,2025-01-26,SW-03,Routine Follow-Up,Barangay Office,,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable,4,3.0
465,19,2025-01-27,SW-18,Routine Follow-Up,Family Home,Flores (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,Follow-up scheduled,Needs Improvement,3,2.0
466,19,2025-02-15,SW-14,Initial Assessment,Barangay Office,Mendoza (Parent); Reyes (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,True,False,Follow-up scheduled,Favorable,3,3.0
467,19,2025-02-23,SW-14,Routine Follow-Up,School,Reyes (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,Follow-up scheduled,Inconclusive,2,
468,19,2025-03-09,SW-18,Emergency,Church,Torres (Parent); Garcia (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Cooperative,True,True,,Needs Improvement,3,2.0
469,19,2025-03-13,SW-15,Post-Placement Monitoring,Barangay Office,Garcia (Parent); Diaz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
470,19,2025-04-01,SW-07,Initial Assessment,Family Home,Garcia (Parent); Reyes (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Uncooperative,False,False,Follow-up scheduled,Favorable,1,3.0
471,19,2025-04-21,SW-13,Routine Follow-Up,Church,Cruz (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,True,,Unfavorable,4,1.0
472,19,2025-04-28,SW-10,Initial Assessment,Community Center,Lopez (Parent); Santos (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,True,False,Follow-up scheduled,Inconclusive,3,
473,19,2025-05-08,SW-12,Initial Assessment,Community Center,Flores (Parent); Lopez (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Inconclusive,3,
474,19,2025-05-25,SW-12,Initial Assessment,Family Home,Lopez (Parent); Flores (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,True,True,Follow-up scheduled,Unfavorable,4,1.0
475,19,2025-05-27,SW-12,Emergency,Community Center,,Visitation for emergency,Visit observations recorded during emergency.,Neutral,False,False,Follow-up scheduled,Inconclusive,2,
476,19,2025-06-11,SW-09,Initial Assessment,Family Home,Diaz (Parent); Rivera (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,True,False,Follow-up scheduled,Inconclusive,3,
477,19,2025-08-16,SW-17,Initial Assessment,Church,Rivera (Parent); Reyes (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement,4,2.0
478,19,2025-08-20,SW-05,Initial Assessment,Barangay Office,Garcia (Parent); Santos (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable,3,3.0
479,19,2025-09-08,SW-07,Emergency,Proposed Foster Home,Rivera (Parent); Garcia (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Highly Cooperative,False,False,,Favorable,4,3.0
480,19,2025-09-24,SW-10,Routine Follow-Up,Proposed Foster Home,Flores (Parent); Rivera (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable,4,3.0
481,19,2025-10-01,SW-07,Initial Assessment,Family Home,Lopez (Parent); Garcia (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,True,,Unfavorable,3,1.0
482,19,2025-10-18,SW-18,Initial Assessment,Barangay Office,Torres (Parent); Cruz (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,,Favorable,3,3.0
483,19,2025-11-11,SW-01,Initial Assessment,Barangay Office,,Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,True,Follow-up scheduled,Unfavorable,4,1.0
